ID,Date,Pointage,Dépointage,POINTEUSE
1,02/10/2019,07:12:00,17:24:00,REPUBLIQUE-1
1,03/10/2019,07:21:00,17:06:00,REPUBLIQUE-1
1,04/10/2019,07:20:00,13:34:00,REPUBLIQUE-1
1,07/10/2019,07:29:00,16:47:00,REPUBLIQUE-1
1,09/10/2019,07:22:00,16:42:00,REPUBLIQUE-1
1,10/10/2019,07:37:00,16:46:00,REPUBLIQUE-1
1,15/10/2019,07:28:00,16:44:00,REPUBLIQUE-1
1,16/10/2019,07:27:00,16:42:00,REPUBLIQUE-1
1,18/10/2019,07:27:00,13:31:00,REPUBLIQUE-1
1,22/10/2019,07:26:00,16:53:00,REPUBLIQUE-1
1,23/10/2019,07:32:00,16:49:00,REPUBLIQUE-1
1,24/10/2019,07:21:00,17:14:00,REPUBLIQUE-1
1,28/10/2019,07:24:00,17:13:00,REPUBLIQUE-1
1,29/10/2019,07:30:00,17:26:00,REPUBLIQUE-1
1,30/10/2019,07:28:00,17:05:00,REPUBLIQUE-1
1,31/10/2019,07:19:00,17:09:00,REPUBLIQUE-1
2,01/10/2019,07:47:00,16:58:00,SIEGE RDC A-1
2,02/10/2019,07:38:00,17:03:00,SIEGE RDC A-1
2,03/10/2019,07:43:00,17:02:00,SIEGE RDC A-1
2,10/10/2019,07:44:00,16:55:00,SIEGE RDC A-1
2,11/10/2019,07:43:00,13:29:00,SIEGE RDC A-1
2,18/10/2019,07:40:00,13:33:00,SIEGE RDC A-1
2,21/10/2019,07:41:00,17:05:00,SIEGE RDC A-1
2,23/10/2019,07:38:00,17:11:00,SIEGE RDC A-1
2,25/10/2019,07:51:00,13:37:00,SIEGE RDC A-1
2,29/10/2019,07:47:00,17:06:00,SIEGE RDC A-1
2,30/10/2019,07:45:00,16:20:00,SIEGE RDC A-1
3,01/10/2019,06:54:00,16:50:00,MEDINA - 1-1
3,02/10/2019,06:59:00,16:37:00,MEDINA - 1-1
3,03/10/2019,07:14:00,17:10:00,MEDINA - 1-1
